,net_from,reg_from,net_to,reg_to,score
93,DefaultA,pCunPCC_1,Subcortical,globus_pallidus_externa,9.27580508210467
100,DefaultA,pCunPCC_1,Subcortical,globus_pallidus_externa,8.34484404913865
70,ContB,IPL_1,DefaultA,PFCm_1,8.338093899508756
114,Cereb,Vermis_X,Subcortical,globus_pallidus_externa,8.299522140830193
72,ContB,IPL_1,DefaultB,PFCd_1,7.79119793308231
60,LimbicA,TempPole_1,DefaultC,Rsp_1,7.740149640826582
30,DorsAttnA,TempOcc_1,ContB,PFCld_1,7.714381281700293
88,ContC,pCun_1,DefaultA,PFCm_1,7.693945380173694
74,ContB,PFClv_1,Cereb,VIIIb,7.690085729352905
50,SalVentAttnB,PFCl_1,Cereb,Vermis_CrusI,7.628385057125259
21,SomMotB,Aud_1,DefaultB,PFCd_1,7.626076768416708
117,Cereb,Vermis_CrusI,Subcortical,thalamus,7.576270106145776
86,ContC,Cingp_1,Subcortical,globus_pallidus_externa,7.528664381985971
120,Cereb,Vermis_CrusI,Subcortical,caudate,7.48060136988888
107,DefaultB,PFCv_1,Cereb,VIIIb,7.451446419696352
80,ContC,Cingp_1,Cereb,VIIIb,7.4210106293852105
54,SalVentAttnB,PFCl_1,ContC,pCun_1,7.368701111341643
91,ContC,pCun_1,DefaultB,PFCv_1,7.340055730931147
48,SalVentAttnA,ParOper_1,ContC,Cingp_1,7.338535102384013
95,DefaultA,PFCm_1,Cereb,VIIIb,7.337471588177594
94,DefaultA,PFCm_1,Cereb,VIIIb,7.291942642687457
85,ContC,Cingp_1,Subcortical,thalamus,7.27997296003039
101,DefaultA,PFCd_1,Cereb,Vermis_CrusI,7.272350699988
27,DorsAttnA,SPL_1,Subcortical,amygdala,7.270386809785835
119,Cereb,Vermis_CrusI,Subcortical,caudate,7.259468985586784
59,LimbicA,TempPole_1,DefaultC,Rsp_1,7.250775596304296
19,SomMotB,Aud_1,DefaultA,PFCm_1,7.241069495707999
44,SalVentAttnA,ParMed_1,ContA,PFCl_2,7.175447416826169
38,DorsAttnB,PostC_2,TempPar,1,7.16882529221626
99,DefaultA,pCunPCC_1,Subcortical,globus_pallidus_Interna,7.162951099207562
47,SalVentAttnA,ParOper_1,ContB,Temp_1,7.154839056936159
71,ContB,IPL_1,DefaultA,PFCm_1,7.121457321437296
92,DefaultA,pCunPCC_1,Subcortical,globus_pallidus_Interna,7.119686458558751
45,SalVentAttnA,Ins_1,ContC,Cingp_1,6.959869556892912
